n_fast_simple	n_slow_simple	n_fast_advanced	n_slow_advanced	n_partition_simple	n_partition_advanced	range_tasks_partition_simple	range_tasks_partition_advanced	load_partition_simple	load_partition_advanced	fast_performance	slow_performance	simple_operations	advanced_operations	tasks_periods
2	3	3	2	5	4	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	6	3	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	7	5	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	9	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	10	9	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	11	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	12	10	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	9	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	10	9	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	11	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	12	10	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	9	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	10	9	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	11	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	12	10	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	9	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	10	9	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	11	8	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	12	10	5,10	4,7	0.3	0.3	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	4	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	5	4	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	6	3	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	7	5	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	9	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	10	9	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	11	8	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	12	10	5,10	4,7	0.4	0.35	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	0	0	1	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	0	0	1	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
1	1	1	1	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	1	2	1	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	4	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	5	4	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	6	3	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	7	5	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	2	2	2	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	2	2	3	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
3	3	3	3	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	9	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	10	9	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	11	8	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
2	3	3	2	12	10	5,10	4,7	0.6	0.25	100	50	f1	f1,f2	100, 500, 1000, 1500, 3000
